date,year,month,day,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,is_peak_season,is_school_holiday,temperature,rain_probability,is_rainy,visitors,quarter,is_month_start,is_month_end,season,visitors_lag1,visitors_lag7,visitors_ma7,visitors_ma30
2018-02-10,2018,2,10,5,41,6,1,0,0,0,69,0.18,0,40533,1,0,0,Winter,44990,54849,38324,40782
2018-02-11,2018,2,11,6,42,6,1,0,0,0,65,0.18,0,47892,1,0,0,Winter,40533,51353,37830,40895
2018-02-12,2018,2,12,0,43,7,0,0,0,0,65,0.18,0,31420,1,0,0,Winter,47892,37725,36929,40194
2018-02-13,2018,2,13,1,44,7,0,0,0,0,72,0.18,1,31053,1,0,0,Winter,31420,29041,37217,39523
2018-02-14,2018,2,14,2,45,7,0,0,0,0,71,0.18,0,32296,1,0,0,Winter,31053,30759,37436,39481
2018-02-15,2018,2,15,3,46,7,0,0,0,0,70,0.18,0,36044,1,0,0,Winter,32296,33872,37746,39552
2018-02-16,2018,2,16,4,47,7,0,0,0,0,67,0.18,1,45209,1,0,0,Winter,36044,44990,37778,40003
2018-02-17,2018,2,17,5,48,7,1,0,0,0,68,0.18,0,45868,1,0,0,Winter,45209,40533,38540,40270
2018-02-18,2018,2,18,6,49,7,1,0,0,0,73,0.18,0,44703,1,0,0,Winter,45868,47892,38084,40264
2018-02-19,2018,2,19,0,50,8,0,1,0,0,72,0.18,0,35208,1,0,0,Winter,44703,31420,38625,39663
2018-02-20,2018,2,20,1,51,8,0,0,0,0,63,0.18,0,32866,1,0,0,Winter,35208,31053,38884,39283
2018-02-21,2018,2,21,2,52,8,0,0,0,0,72,0.18,0,31885,1,0,0,Winter,32866,32296,38826,39092
2018-02-22,2018,2,22,3,53,8,0,0,0,0,63,0.18,1,40003,1,0,0,Winter,31885,36044,39391,39370
2018-02-23,2018,2,23,4,54,8,0,0,0,0,66,0.18,1,40359,1,0,0,Winter,40003,45209,38698,39479
2018-02-24,2018,2,24,5,55,8,1,0,0,0,64,0.18,0,54109,1,0,0,Winter,40359,45868,39876,40007
2018-02-25,2018,2,25,6,56,8,1,0,0,0,73,0.18,0,47723,1,0,0,Winter,54109,44703,40307,39990
2018-02-26,2018,2,26,0,57,9,0,0,0,0,69,0.18,0,30209,1,0,0,Winter,47723,35208,39593,39021
2018-02-27,2018,2,27,1,58,9,0,0,0,0,64,0.18,0,32698,1,0,0,Winter,30209,32866,39569,38586
2018-02-28,2018,2,28,2,59,9,0,0,0,0,72,0.18,1,30046,1,0,1,Winter,32698,31885,39306,38446
2018-03-01,2018,3,1,3,60,9,0,0,1,1,68,0.2,0,57266,1,1,0,Spring,30046,40003,41772,39319
2018-03-02,2018,3,2,4,61,9,0,0,1,1,71,0.2,1,62669,1,0,0,Spring,57266,40359,44960,40311
2018-03-03,2018,3,3,5,62,9,1,0,1,1,70,0.2,1,80000,1,0,0,Spring,62669,54109,48658,41766
2018-03-04,2018,3,4,6,63,9,1,0,1,1,74,0.2,0,80000,1,0,0,Spring,80000,47723,53269,43088
2018-03-05,2018,3,5,0,64,10,0,0,1,1,70,0.2,0,45581,1,0,0,Spring,80000,30209,55465,42779
2018-03-06,2018,3,6,1,65,10,0,0,1,1,72,0.2,0,50005,1,0,0,Spring,45581,32698,57938,42734
2018-03-07,2018,3,7,2,66,10,0,0,1,1,71,0.2,0,47669,1,0,0,Spring,50005,30046,60455,43065
2018-03-08,2018,3,8,3,67,10,0,0,1,1,77,0.2,1,52085,1,0,0,Spring,47669,57266,59715,43834
2018-03-09,2018,3,9,4,68,10,0,0,1,1,68,0.2,1,63344,1,0,0,Spring,52085,62669,59812,44920
2018-03-10,2018,3,10,5,69,10,1,0,1,1,77,0.2,0,80000,1,0,0,Spring,63344,80000,59812,46457
2018-03-11,2018,3,11,6,70,10,1,0,1,1,74,0.2,1,80000,1,0,0,Spring,80000,80000,59812,47624
2018-03-12,2018,3,12,0,71,11,0,0,1,1,68,0.2,0,72561,1,0,0,Spring,80000,45581,63666,48692
2018-03-13,2018,3,13,1,72,11,0,0,1,1,75,0.2,1,62386,1,0,0,Spring,72561,50005,65435,49175
2018-03-14,2018,3,14,2,73,11,0,0,1,1,75,0.2,0,62007,1,0,0,Spring,62386,47669,67483,50195
2018-03-15,2018,3,15,3,74,11,0,0,1,1,69,0.2,1,76445,1,0,0,Spring,62007,52085,70963,51708
2018-03-16,2018,3,16,4,75,11,0,0,1,1,70,0.2,1,80000,1,0,0,Spring,76445,63344,73342,53298
2018-03-17,2018,3,17,5,76,11,1,0,1,1,74,0.2,0,80000,1,0,0,Spring,80000,80000,73342,54763
2018-03-18,2018,3,18,6,77,11,1,0,1,1,75,0.2,0,77958,1,0,0,Spring,80000,80000,73051,55855
2018-03-19,2018,3,19,0,78,12,0,0,1,1,69,0.2,1,64346,1,0,0,Spring,77958,72561,71877,56471
2018-03-20,2018,3,20,1,79,12,0,0,1,1,71,0.2,0,59450,1,0,0,Spring,64346,62386,71458,56962
2018-03-21,2018,3,21,2,80,12,0,0,1,1,77,0.2,0,66693,1,0,0,Spring,59450,62007,72127,58012
2018-03-22,2018,3,22,3,81,12,0,0,1,1,74,0.2,0,67105,1,0,0,Spring,66693,76445,70793,59153
2018-03-23,2018,3,23,4,82,12,0,0,1,1,69,0.2,0,78205,1,0,0,Spring,67105,80000,70536,60697
2018-03-24,2018,3,24,5,83,12,1,0,1,1,73,0.2,1,80000,1,0,0,Spring,78205,80000,70536,62030
2018-03-25,2018,3,25,6,84,12,1,0,1,1,77,0.2,0,80000,1,0,0,Spring,80000,77958,70828,63352
2018-03-26,2018,3,26,0,85,13,0,0,1,1,74,0.2,0,69134,1,0,0,Spring,80000,64346,71512,63852
2018-03-27,2018,3,27,1,86,13,0,0,1,1,76,0.2,0,69794,1,0,0,Spring,69134,59450,72990,64588
2018-03-28,2018,3,28,2,87,13,0,0,1,1,77,0.2,0,69283,1,0,0,Spring,69794,66693,73360,65891
2018-03-29,2018,3,29,3,88,13,0,0,1,1,69,0.2,0,80000,1,0,0,Spring,69283,67105,75202,67467
2018-03-30,2018,3,30,4,89,13,0,0,1,1,68,0.2,0,80000,1,0,0,Spring,80000,78205,75458,69132
2018-03-31,2018,3,31,5,90,13,1,0,1,1,76,0.2,0,80000,1,0,1,Spring,80000,80000,75458,69890
2018-04-01,2018,4,1,6,91,13,1,0,1,1,79,0.22,0,80000,2,1,0,Spring,80000,80000,75458,70468
2018-04-02,2018,4,2,0,92,14,0,0,1,1,81,0.22,1,80000,2,0,0,Spring,80000,69134,77011,70468
2018-04-03,2018,4,3,1,93,14,0,0,1,1,73,0.22,0,68478,2,0,0,Spring,80000,69794,76823,70084
2018-04-04,2018,4,4,2,94,14,0,0,1,1,75,0.22,1,74763,2,0,0,Spring,68478,69283,77605,71057
2018-04-05,2018,4,5,3,95,14,0,0,1,1,77,0.22,0,80000,2,0,0,Spring,74763,80000,77605,72056
2018-04-06,2018,4,6,4,96,14,0,0,1,1,75,0.22,0,80000,2,0,0,Spring,80000,80000,77605,73134
2018-04-07,2018,4,7,5,97,14,1,0,1,1,73,0.22,0,80000,2,0,0,Spring,80000,80000,77605,74065
2018-04-08,2018,4,8,6,98,14,1,0,1,1,79,0.22,0,80000,2,0,0,Spring,80000,80000,77605,74620
2018-04-09,2018,4,9,0,99,15,0,0,1,1,79,0.22,1,78236,2,0,0,Spring,80000,80000,77353,74561
2018-04-10,2018,4,10,1,100,15,0,0,1,1,82,0.22,1,64947,2,0,0,Spring,78236,68478,76849,74059
2018-04-11,2018,4,11,2,101,15,0,0,1,1,80,0.22,0,70685,2,0,0,Spring,64947,74763,76266,73997
2018-04-12,2018,4,12,3,102,15,0,0,1,1,77,0.22,1,80000,2,0,0,Spring,70685,80000,76266,74584
2018-04-13,2018,4,13,4,103,15,0,0,1,1,82,0.22,0,80000,2,0,0,Spring,80000,80000,76266,75184
2018-04-14,2018,4,14,5,104,15,1,0,1,1,77,0.22,0,80000,2,0,0,Spring,80000,80000,76266,75302
2018-04-15,2018,4,15,6,105,15,1,0,1,1,77,0.22,0,80000,2,0,0,Spring,80000,80000,76266,75302
2018-04-16,2018,4,16,0,106,16,0,0,1,1,73,0.22,0,74182,2,0,0,Spring,80000,78236,75687,75108
2018-04-17,2018,4,17,1,107,16,0,0,1,1,82,0.22,0,63916,2,0,0,Spring,74182,64947,75540,74640
2018-04-18,2018,4,18,2,108,16,0,0,1,1,77,0.22,0,70333,2,0,0,Spring,63916,70685,75490,74840
2018-04-19,2018,4,19,3,109,16,0,0,1,1,78,0.22,0,76447,2,0,0,Spring,70333,80000,74982,75406
2018-04-20,2018,4,20,4,110,16,0,0,1,1,73,0.22,0,67841,2,0,0,Spring,76447,80000,73245,75444
2018-04-21,2018,4,21,5,111,16,1,0,1,1,83,0.22,0,80000,2,0,0,Spring,67841,80000,73245,75874
2018-04-22,2018,4,22,6,112,16,1,0,1,1,79,0.22,1,59814,2,0,0,Spring,80000,80000,70361,75261
2018-04-23,2018,4,23,0,113,17,0,0,1,1,73,0.22,1,57653,2,0,0,Spring,59814,74182,68000,74516
2018-04-24,2018,4,24,1,114,17,0,0,1,1,83,0.22,0,52062,2,0,0,Spring,57653,63916,66307,73585
2018-04-25,2018,4,25,2,115,17,0,0,1,1,74,0.22,0,57628,2,0,0,Spring,52062,70333,64492,73202
2018-04-26,2018,4,26,3,116,17,0,0,1,1,74,0.22,0,58304,2,0,0,Spring,57628,76447,61900,72819
2018-04-27,2018,4,27,4,117,17,0,0,1,1,77,0.22,0,79267,2,0,0,Spring,58304,67841,63532,73151
2018-04-28,2018,4,28,5,118,17,1,0,1,1,82,0.22,0,78523,2,0,0,Spring,79267,80000,63321,73102
2018-04-29,2018,4,29,6,119,17,1,0,1,1,79,0.22,0,80000,2,0,0,Spring,78523,59814,66205,73102
2018-04-30,2018,4,30,0,120,18,0,0,1,1,73,0.22,0,52052,2,0,1,Spring,80000,57653,65405,72171
2018-05-01,2018,5,1,1,121,18,0,0,0,0,86,0.28,0,44425,2,1,0,Spring,52052,52062,64314,70985
2018-05-02,2018,5,2,2,122,18,0,0,0,0,77,0.28,0,52537,2,0,0,Spring,44425,57628,63586,70069
2018-05-03,2018,5,3,3,123,18,0,0,0,0,77,0.28,0,48558,2,0,0,Spring,52537,58304,62194,69405
2018-05-04,2018,5,4,4,124,18,0,0,0,0,82,0.28,0,55706,2,0,0,Spring,48558,79267,58828,68770
2018-05-05,2018,5,5,5,125,18,1,0,0,0,78,0.28,0,70437,2,0,0,Spring,55706,78523,57673,68451
2018-05-06,2018,5,6,6,126,18,1,0,0,0,77,0.28,0,62081,2,0,0,Spring,70437,80000,55113,67854
2018-05-07,2018,5,7,0,127,19,0,0,0,0,82,0.28,1,38665,2,0,0,Spring,62081,52052,53201,66476
2018-05-08,2018,5,8,1,128,19,0,0,0,0,78,0.28,0,44899,2,0,0,Spring,38665,44425,53269,65306
2018-05-09,2018,5,9,2,129,19,0,0,0,0,82,0.28,0,45402,2,0,0,Spring,44899,52537,52249,64212
2018-05-10,2018,5,10,3,130,19,0,0,0,0,86,0.28,0,44148,2,0,0,Spring,45402,48558,51619,63518
2018-05-11,2018,5,11,4,131,19,0,0,0,0,84,0.28,0,60846,2,0,0,Spring,44148,55706,52354,63190
2018-05-12,2018,5,12,5,132,19,1,0,0,0,78,0.28,0,68849,2,0,0,Spring,60846,70437,52127,62819
2018-05-13,2018,5,13,6,133,19,1,0,0,0,87,0.28,0,51296,2,0,0,Spring,68849,62081,50586,61862
2018-05-14,2018,5,14,0,134,20,0,0,0,0,85,0.28,0,43248,2,0,0,Spring,51296,38665,51241,60637
2018-05-15,2018,5,15,1,135,20,0,0,0,0,84,0.28,0,44737,2,0,0,Spring,43248,44899,51218,59461
2018-05-16,2018,5,16,2,136,20,0,0,0,0,86,0.28,0,46078,2,0,0,Spring,44737,45402,51314,58525
2018-05-17,2018,5,17,3,137,20,0,0,0,0,77,0.28,0,46557,2,0,0,Spring,46078,44148,51658,57946
2018-05-18,2018,5,18,4,138,20,0,0,0,0,83,0.28,0,54067,2,0,0,Spring,46557,60846,50690,57404
2018-05-19,2018,5,19,5,139,20,1,0,0,0,86,0.28,0,77943,2,0,0,Spring,54067,68849,51989,57454
2018-05-20,2018,5,20,6,140,20,1,0,0,0,82,0.28,0,68703,2,0,0,Spring,77943,51296,54476,57482
2018-05-21,2018,5,21,0,141,21,0,0,0,0,82,0.28,0,46358,2,0,0,Spring,68703,43248,54920,56361
2018-05-22,2018,5,22,1,142,21,0,0,0,0,82,0.28,0,43855,2,0,0,Spring,46358,44737,54794,55829
2018-05-23,2018,5,23,2,143,21,0,0,0,0,82,0.28,1,48758,2,0,0,Spring,43855,46078,55177,55532
2018-05-24,2018,5,24,3,144,21,0,0,0,0,86,0.28,0,49704,2,0,0,Spring,48758,46557,55626,55454
2018-05-25,2018,5,25,4,145,21,0,0,0,0,83,0.28,0,56799,2,0,0,Spring,49704,54067,56017,55426
2018-05-26,2018,5,26,5,146,21,1,0,0,0,79,0.28,0,58657,2,0,0,Spring,56799,77943,53262,55438
2018-05-27,2018,5,27,6,147,21,1,0,0,0,82,0.28,1,62503,2,0,0,Spring,58657,68703,52376,54879
2018-05-28,2018,5,28,0,148,22,0,1,0,0,79,0.28,1,44514,2,0,0,Spring,62503,46358,52112,53746
2018-05-29,2018,5,29,1,149,22,0,0,0,0,83,0.28,0,40673,2,0,0,Spring,44514,43855,51658,52435
2018-05-30,2018,5,30,2,150,22,0,0,0,0,83,0.28,0,43031,2,0,0,Spring,40673,48758,50840,52134
2018-05-31,2018,5,31,3,151,22,0,0,0,0,84,0.28,1,53610,2,0,1,Spring,43031,49704,51398,52440
2018-06-01,2018,6,1,4,152,22,0,0,1,1,82,0.45,1,74942,2,1,0,Summer,53610,56799,53990,53187
2018-06-02,2018,6,2,5,153,22,1,0,1,1,89,0.45,0,80000,2,0,0,Summer,74942,58657,57039,54235
2018-06-03,2018,6,3,6,154,22,1,0,1,1,85,0.45,0,78605,2,0,0,Summer,80000,62503,59339,54998
2018-06-04,2018,6,4,0,155,23,0,0,1,1,89,0.45,0,53987,2,0,0,Summer,78605,44514,60692,54450
2018-06-05,2018,6,5,1,156,23,0,0,1,1,90,0.45,1,57776,2,0,0,Summer,53987,40673,63135,54307
2018-06-06,2018,6,6,2,157,23,0,0,1,1,85,0.45,1,52004,2,0,0,Summer,57776,43031,64417,54751
2018-06-07,2018,6,7,3,158,23,0,0,1,1,87,0.45,0,64874,2,0,0,Summer,52004,53610,66026,55417
2018-06-08,2018,6,8,4,159,23,0,0,1,1,91,0.45,1,70770,2,0,0,Summer,64874,74942,65430,56263
2018-06-09,2018,6,9,5,160,23,1,0,1,1,89,0.45,0,80000,2,0,0,Summer,70770,80000,65430,57458
2018-06-10,2018,6,10,6,161,23,1,0,1,1,84,0.45,0,79295,2,0,0,Summer,80000,78605,65529,58073
2018-06-11,2018,6,11,0,162,24,0,0,1,1,82,0.45,1,48949,2,0,0,Summer,79295,53987,64809,57409
2018-06-12,2018,6,12,1,163,24,0,0,1,1,89,0.45,1,55425,2,0,0,Summer,48949,57776,64473,57547
2018-06-13,2018,6,13,2,164,24,0,0,1,1,82,0.45,0,60220,2,0,0,Summer,55425,52004,65647,58113
2018-06-14,2018,6,14,3,165,24,0,0,1,1,83,0.45,0,49911,2,0,0,Summer,60220,64874,63510,58285
2018-06-15,2018,6,15,4,166,24,0,0,1,1,90,0.45,0,69991,2,0,0,Summer,49911,70770,63398,59082
2018-06-16,2018,6,16,5,167,24,1,0,1,1,82,0.45,1,80000,2,0,0,Summer,69991,80000,63398,60197
2018-06-17,2018,6,17,6,168,24,1,0,1,1,83,0.45,0,80000,2,0,0,Summer,80000,79295,63499,61061
2018-06-18,2018,6,18,0,169,25,0,0,1,1,86,0.45,0,51653,2,0,0,Summer,80000,48949,63885,60185
2018-06-19,2018,6,19,1,170,25,0,0,1,1,83,0.45,0,46974,2,0,0,Summer,51653,55425,62678,59461
2018-06-20,2018,6,20,2,171,25,0,0,1,1,90,0.45,1,54942,2,0,0,Summer,46974,60220,61924,59747
2018-06-21,2018,6,21,3,172,25,0,0,1,1,88,0.45,0,55657,2,0,0,Summer,54942,49911,62745,60140
2018-06-22,2018,6,22,4,173,25,0,0,1,1,91,0.45,0,75646,2,0,0,Summer,55657,69991,63553,61037
2018-06-23,2018,6,23,5,174,25,1,0,1,1,86,0.45,0,76195,2,0,0,Summer,75646,80000,63009,61920
2018-06-24,2018,6,24,6,175,25,1,0,1,1,87,0.45,0,80000,2,0,0,Summer,76195,80000,63009,62693
2018-06-25,2018,6,25,0,176,26,0,0,1,1,81,0.45,0,46245,2,0,0,Summer,80000,51653,62237,62279
2018-06-26,2018,6,26,1,177,26,0,0,1,1,83,0.45,0,51564,2,0,0,Summer,46245,46974,62892,61915
2018-06-27,2018,6,27,2,178,26,0,0,1,1,83,0.45,0,56993,2,0,0,Summer,51564,54942,63185,62331
2018-06-28,2018,6,28,3,179,26,0,0,1,1,82,0.45,1,62763,2,0,0,Summer,56993,55657,64200,63067
2018-06-29,2018,6,29,4,180,26,0,0,1,1,87,0.45,1,60694,2,0,0,Summer,62763,75646,62064,63656
2018-06-30,2018,6,30,5,181,26,1,0,1,1,89,0.45,1,80000,2,0,1,Summer,60694,76195,62608,64535
2018-07-01,2018,7,1,6,182,26,1,0,1,1,86,0.5,1,80000,3,1,0,Summer,80000,80000,62608,64704
2018-07-02,2018,7,2,0,183,27,0,0,1,1,87,0.5,1,80000,3,0,0,Summer,80000,46245,67430,64704
2018-07-03,2018,7,3,1,184,27,0,0,1,1,85,0.5,0,80000,3,0,0,Summer,80000,51564,71492,64750
2018-07-04,2018,7,4,2,185,27,0,1,1,1,93,0.5,1,80000,3,0,0,Summer,80000,56993,74779,65618
2018-07-05,2018,7,5,3,186,27,0,0,1,1,91,0.5,0,80000,3,0,0,Summer,80000,62763,77242,66358
2018-07-06,2018,7,6,4,187,27,0,0,1,1,86,0.5,0,80000,3,0,0,Summer,80000,60694,80000,67292
2018-07-07,2018,7,7,5,188,27,1,0,1,1,87,0.5,1,80000,3,0,0,Summer,80000,80000,80000,67796
2018-07-08,2018,7,8,6,189,27,1,0,1,1,83,0.5,0,80000,3,0,0,Summer,80000,80000,80000,68103
2018-07-09,2018,7,9,0,190,28,0,0,1,1,93,0.5,0,56712,3,0,0,Summer,80000,80000,76673,67327
2018-07-10,2018,7,10,1,191,28,0,0,1,1,84,0.5,1,52612,3,0,0,Summer,56712,80000,72760,66438
2018-07-11,2018,7,11,2,192,28,0,0,1,1,91,0.5,1,56733,3,0,0,Summer,52612,80000,69436,66697
2018-07-12,2018,7,12,3,193,28,0,0,1,1,84,0.5,1,66291,3,0,0,Summer,56733,80000,67478,67059
2018-07-13,2018,7,13,4,194,28,0,0,1,1,87,0.5,0,76863,3,0,0,Summer,66291,80000,67030,67614
2018-07-14,2018,7,14,5,195,28,1,0,1,1,90,0.5,1,80000,3,0,0,Summer,76863,80000,67030,68617
2018-07-15,2018,7,15,6,196,28,1,0,1,1,85,0.5,0,75644,3,0,0,Summer,80000,80000,66407,68806
2018-07-16,2018,7,16,0,197,29,0,0,1,1,88,0.5,0,54923,3,0,0,Summer,75644,56712,66152,67970
2018-07-17,2018,7,17,1,198,29,0,0,1,1,86,0.5,1,59722,3,0,0,Summer,54923,52612,67168,67294
2018-07-18,2018,7,18,2,199,29,0,0,1,1,93,0.5,0,66128,3,0,0,Summer,59722,56733,68510,67776
2018-07-19,2018,7,19,3,200,29,0,0,1,1,89,0.5,1,68923,3,0,0,Summer,66128,66291,68886,68508
2018-07-20,2018,7,20,4,201,29,0,0,1,1,92,0.5,0,74865,3,0,0,Summer,68923,76863,68600,69172
2018-07-21,2018,7,21,5,202,29,1,0,1,1,85,0.5,1,71170,3,0,0,Summer,74865,80000,67339,69689
2018-07-22,2018,7,22,6,203,29,1,0,1,1,88,0.5,0,79759,3,0,0,Summer,71170,75644,67927,69826
2018-07-23,2018,7,23,0,204,30,0,0,1,1,92,0.5,1,66936,3,0,0,Summer,79759,54923,69643,69518
2018-07-24,2018,7,24,1,205,30,0,0,1,1,91,0.5,0,58770,3,0,0,Summer,66936,59722,69507,68810
2018-07-25,2018,7,25,2,206,30,0,0,1,1,93,0.5,0,52661,3,0,0,Summer,58770,66128,67583,69024
2018-07-26,2018,7,26,3,207,30,0,0,1,1,92,0.5,1,62859,3,0,0,Summer,52661,68923,66717,69400
2018-07-27,2018,7,27,4,208,30,0,0,1,1,83,0.5,0,66035,3,0,0,Summer,62859,74865,65455,69702
2018-07-28,2018,7,28,5,209,30,1,0,1,1,85,0.5,1,74367,3,0,0,Summer,66035,71170,65912,70088
2018-07-29,2018,7,29,6,210,30,1,0,1,1,84,0.5,0,72878,3,0,0,Summer,74367,79759,64929,70495
2018-07-30,2018,7,30,0,211,31,0,0,1,1,90,0.5,0,61735,3,0,0,Summer,72878,66936,64186,69886
2018-07-31,2018,7,31,1,212,31,0,0,1,1,89,0.5,1,59199,3,0,1,Summer,61735,58770,64247,69192
2018-08-01,2018,8,1,2,213,31,0,0,1,1,84,0.55,1,52471,3,1,0,Summer,59199,52661,64220,68275
2018-08-02,2018,8,2,3,214,31,0,0,1,1,88,0.55,1,47089,3,0,0,Summer,52471,62859,61967,67178
2018-08-03,2018,8,3,4,215,31,0,0,1,1,85,0.55,0,65521,3,0,0,Summer,47089,66035,61894,66695
2018-08-04,2018,8,4,5,216,31,1,0,1,1,90,0.55,1,67575,3,0,0,Summer,65521,74367,60924,66281
2018-08-05,2018,8,5,6,217,31,1,0,1,1,92,0.55,1,70222,3,0,0,Summer,67575,72878,60544,65955
2018-08-06,2018,8,6,0,218,32,0,0,1,1,85,0.55,1,54565,3,0,0,Summer,70222,61735,59520,65107
2018-08-07,2018,8,7,1,219,32,0,0,1,1,92,0.55,1,46968,3,0,0,Summer,54565,59199,57773,64006
2018-08-08,2018,8,8,2,220,32,0,0,1,1,91,0.55,0,46468,3,0,0,Summer,46968,52471,56915,63665
2018-08-09,2018,8,9,3,221,32,0,0,1,1,83,0.55,1,50201,3,0,0,Summer,46468,47089,57360,63584
2018-08-10,2018,8,10,4,222,32,0,0,1,1,87,0.55,0,57207,3,0,0,Summer,50201,65521,56172,63600
2018-08-11,2018,8,11,5,223,32,1,0,1,1,85,0.55,0,63737,3,0,0,Summer,57207,67575,55624,63515
2018-08-12,2018,8,12,6,224,32,1,0,1,1,88,0.55,0,75902,3,0,0,Summer,63737,70222,56435,63483
2018-08-13,2018,8,13,0,225,33,0,0,1,1,92,0.55,1,48196,3,0,0,Summer,75902,54565,55525,62423
