date,year,month,day,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,is_peak_season,is_school_holiday,temperature,rain_probability,is_rainy,visitors
2018-02-18,2018,2,18,6,49,7,1,0,0,0,73,0.18,0,44703
2018-02-19,2018,2,19,0,50,8,0,1,0,0,72,0.18,0,35208
2018-02-20,2018,2,20,1,51,8,0,0,0,0,63,0.18,0,32866
2018-02-21,2018,2,21,2,52,8,0,0,0,0,72,0.18,0,31885
2018-02-22,2018,2,22,3,53,8,0,0,0,0,63,0.18,1,40003
2018-02-23,2018,2,23,4,54,8,0,0,0,0,66,0.18,1,40359
2018-02-24,2018,2,24,5,55,8,1,0,0,0,64,0.18,0,54109
2018-02-25,2018,2,25,6,56,8,1,0,0,0,73,0.18,0,47723
2018-02-26,2018,2,26,0,57,9,0,0,0,0,69,0.18,0,30209
2018-02-27,2018,2,27,1,58,9,0,0,0,0,64,0.18,0,32698
2018-02-28,2018,2,28,2,59,9,0,0,0,0,72,0.18,1,30046
2018-03-01,2018,3,1,3,60,9,0,0,1,1,68,0.2,0,57266
2018-03-02,2018,3,2,4,61,9,0,0,1,1,71,0.2,1,62669
2018-03-03,2018,3,3,5,62,9,1,0,1,1,70,0.2,1,80000
2018-03-04,2018,3,4,6,63,9,1,0,1,1,74,0.2,0,80000
2018-03-05,2018,3,5,0,64,10,0,0,1,1,70,0.2,0,45581
2018-03-06,2018,3,6,1,65,10,0,0,1,1,72,0.2,0,50005
2018-03-07,2018,3,7,2,66,10,0,0,1,1,71,0.2,0,47669
2018-03-08,2018,3,8,3,67,10,0,0,1,1,77,0.2,1,52085
2018-03-09,2018,3,9,4,68,10,0,0,1,1,68,0.2,1,63344
2018-03-10,2018,3,10,5,69,10,1,0,1,1,77,0.2,0,80000
2018-03-11,2018,3,11,6,70,10,1,0,1,1,74,0.2,1,80000
2018-03-12,2018,3,12,0,71,11,0,0,1,1,68,0.2,0,72561
2018-03-13,2018,3,13,1,72,11,0,0,1,1,75,0.2,1,62386
2018-03-14,2018,3,14,2,73,11,0,0,1,1,75,0.2,0,62007
2018-03-15,2018,3,15,3,74,11,0,0,1,1,69,0.2,1,76445
2018-03-16,2018,3,16,4,75,11,0,0,1,1,70,0.2,1,80000
2018-03-17,2018,3,17,5,76,11,1,0,1,1,74,0.2,0,80000
2018-03-18,2018,3,18,6,77,11,1,0,1,1,75,0.2,0,77958
2018-03-19,2018,3,19,0,78,12,0,0,1,1,69,0.2,1,64346
2018-03-20,2018,3,20,1,79,12,0,0,1,1,71,0.2,0,59450
2018-03-21,2018,3,21,2,80,12,0,0,1,1,77,0.2,0,66693
2018-03-22,2018,3,22,3,81,12,0,0,1,1,74,0.2,0,67105
2018-03-23,2018,3,23,4,82,12,0,0,1,1,69,0.2,0,78205
2018-03-24,2018,3,24,5,83,12,1,0,1,1,73,0.2,1,80000
2018-03-25,2018,3,25,6,84,12,1,0,1,1,77,0.2,0,80000
2018-03-26,2018,3,26,0,85,13,0,0,1,1,74,0.2,0,69134
2018-03-27,2018,3,27,1,86,13,0,0,1,1,76,0.2,0,69794
2018-03-28,2018,3,28,2,87,13,0,0,1,1,77,0.2,0,69283
2018-03-29,2018,3,29,3,88,13,0,0,1,1,69,0.2,0,80000
2018-03-30,2018,3,30,4,89,13,0,0,1,1,68,0.2,0,80000
2018-03-31,2018,3,31,5,90,13,1,0,1,1,76,0.2,0,80000
2018-04-01,2018,4,1,6,91,13,1,0,1,1,79,0.22,0,80000
2018-04-02,2018,4,2,0,92,14,0,0,1,1,81,0.22,1,80000
2018-04-03,2018,4,3,1,93,14,0,0,1,1,73,0.22,0,68478
2018-04-04,2018,4,4,2,94,14,0,0,1,1,75,0.22,1,74763
2018-04-05,2018,4,5,3,95,14,0,0,1,1,77,0.22,0,80000
2018-04-06,2018,4,6,4,96,14,0,0,1,1,75,0.22,0,80000
2018-04-07,2018,4,7,5,97,14,1,0,1,1,73,0.22,0,80000
2018-04-08,2018,4,8,6,98,14,1,0,1,1,79,0.22,0,80000
2018-04-09,2018,4,9,0,99,15,0,0,1,1,79,0.22,1,78236
2018-04-10,2018,4,10,1,100,15,0,0,1,1,82,0.22,1,64947
2018-04-11,2018,4,11,2,101,15,0,0,1,1,80,0.22,0,70685
2018-04-12,2018,4,12,3,102,15,0,0,1,1,77,0.22,1,80000
2018-04-13,2018,4,13,4,103,15,0,0,1,1,82,0.22,0,80000
2018-04-14,2018,4,14,5,104,15,1,0,1,1,77,0.22,0,80000
2018-04-15,2018,4,15,6,105,15,1,0,1,1,77,0.22,0,80000
2018-04-16,2018,4,16,0,106,16,0,0,1,1,73,0.22,0,74182
2018-04-17,2018,4,17,1,107,16,0,0,1,1,82,0.22,0,63916
2018-04-18,2018,4,18,2,108,16,0,0,1,1,77,0.22,0,70333
2018-04-19,2018,4,19,3,109,16,0,0,1,1,78,0.22,0,76447
2018-04-20,2018,4,20,4,110,16,0,0,1,1,73,0.22,0,67841
2018-04-21,2018,4,21,5,111,16,1,0,1,1,83,0.22,0,80000
2018-04-22,2018,4,22,6,112,16,1,0,1,1,79,0.22,1,59814
2018-04-23,2018,4,23,0,113,17,0,0,1,1,73,0.22,1,57653
2018-04-24,2018,4,24,1,114,17,0,0,1,1,83,0.22,0,52062
2018-04-25,2018,4,25,2,115,17,0,0,1,1,74,0.22,0,57628
2018-04-26,2018,4,26,3,116,17,0,0,1,1,74,0.22,0,58304
2018-04-27,2018,4,27,4,117,17,0,0,1,1,77,0.22,0,79267
2018-04-28,2018,4,28,5,118,17,1,0,1,1,82,0.22,0,78523
2018-04-29,2018,4,29,6,119,17,1,0,1,1,79,0.22,0,80000
2018-04-30,2018,4,30,0,120,18,0,0,1,1,73,0.22,0,52052
2018-05-01,2018,5,1,1,121,18,0,0,0,0,86,0.28,0,44425
2018-05-02,2018,5,2,2,122,18,0,0,0,0,77,0.28,0,52537
2018-05-03,2018,5,3,3,123,18,0,0,0,0,77,0.28,0,48558
2018-05-04,2018,5,4,4,124,18,0,0,0,0,82,0.28,0,55706
2018-05-05,2018,5,5,5,125,18,1,0,0,0,78,0.28,0,70437
2018-05-06,2018,5,6,6,126,18,1,0,0,0,77,0.28,0,62081
2018-05-07,2018,5,7,0,127,19,0,0,0,0,82,0.28,1,38665
2018-05-08,2018,5,8,1,128,19,0,0,0,0,78,0.28,0,44899
2018-05-09,2018,5,9,2,129,19,0,0,0,0,82,0.28,0,45402
2018-05-10,2018,5,10,3,130,19,0,0,0,0,86,0.28,0,44148
2018-05-11,2018,5,11,4,131,19,0,0,0,0,84,0.28,0,60846
2018-05-12,2018,5,12,5,132,19,1,0,0,0,78,0.28,0,68849
2018-05-13,2018,5,13,6,133,19,1,0,0,0,87,0.28,0,51296
2018-05-14,2018,5,14,0,134,20,0,0,0,0,85,0.28,0,43248
2018-05-15,2018,5,15,1,135,20,0,0,0,0,84,0.28,0,44737
2018-05-16,2018,5,16,2,136,20,0,0,0,0,86,0.28,0,46078
2018-05-17,2018,5,17,3,137,20,0,0,0,0,77,0.28,0,46557
2018-05-18,2018,5,18,4,138,20,0,0,0,0,83,0.28,0,54067
2018-05-19,2018,5,19,5,139,20,1,0,0,0,86,0.28,0,77943
2018-05-20,2018,5,20,6,140,20,1,0,0,0,82,0.28,0,68703
2018-05-21,2018,5,21,0,141,21,0,0,0,0,82,0.28,0,46358
2018-05-22,2018,5,22,1,142,21,0,0,0,0,82,0.28,0,43855
2018-05-23,2018,5,23,2,143,21,0,0,0,0,82,0.28,1,48758
2018-05-24,2018,5,24,3,144,21,0,0,0,0,86,0.28,0,49704
2018-05-25,2018,5,25,4,145,21,0,0,0,0,83,0.28,0,56799
2018-05-26,2018,5,26,5,146,21,1,0,0,0,79,0.28,0,58657
2018-05-27,2018,5,27,6,147,21,1,0,0,0,82,0.28,1,62503
2018-05-28,2018,5,28,0,148,22,0,1,0,0,79,0.28,1,44514
2018-05-29,2018,5,29,1,149,22,0,0,0,0,83,0.28,0,40673
2018-05-30,2018,5,30,2,150,22,0,0,0,0,83,0.28,0,43031
2018-05-31,2018,5,31,3,151,22,0,0,0,0,84,0.28,1,53610
2018-06-01,2018,6,1,4,152,22,0,0,1,1,82,0.45,1,74942
2018-06-02,2018,6,2,5,153,22,1,0,1,1,89,0.45,0,80000
2018-06-03,2018,6,3,6,154,22,1,0,1,1,85,0.45,0,78605
2018-06-04,2018,6,4,0,155,23,0,0,1,1,89,0.45,0,53987
2018-06-05,2018,6,5,1,156,23,0,0,1,1,90,0.45,1,57776
2018-06-06,2018,6,6,2,157,23,0,0,1,1,85,0.45,1,52004
2018-06-07,2018,6,7,3,158,23,0,0,1,1,87,0.45,0,64874
2018-06-08,2018,6,8,4,159,23,0,0,1,1,91,0.45,1,70770
2018-06-09,2018,6,9,5,160,23,1,0,1,1,89,0.45,0,80000
2018-06-10,2018,6,10,6,161,23,1,0,1,1,84,0.45,0,79295
2018-06-11,2018,6,11,0,162,24,0,0,1,1,82,0.45,1,48949
2018-06-12,2018,6,12,1,163,24,0,0,1,1,89,0.45,1,55425
2018-06-13,2018,6,13,2,164,24,0,0,1,1,82,0.45,0,60220
2018-06-14,2018,6,14,3,165,24,0,0,1,1,83,0.45,0,49911
2018-06-15,2018,6,15,4,166,24,0,0,1,1,90,0.45,0,69991
2018-06-16,2018,6,16,5,167,24,1,0,1,1,82,0.45,1,80000
2018-06-17,2018,6,17,6,168,24,1,0,1,1,83,0.45,0,80000
2018-06-18,2018,6,18,0,169,25,0,0,1,1,86,0.45,0,51653
2018-06-19,2018,6,19,1,170,25,0,0,1,1,83,0.45,0,46974
2018-06-20,2018,6,20,2,171,25,0,0,1,1,90,0.45,1,54942
2018-06-21,2018,6,21,3,172,25,0,0,1,1,88,0.45,0,55657
2018-06-22,2018,6,22,4,173,25,0,0,1,1,91,0.45,0,75646
2018-06-23,2018,6,23,5,174,25,1,0,1,1,86,0.45,0,76195
2018-06-24,2018,6,24,6,175,25,1,0,1,1,87,0.45,0,80000
2018-06-25,2018,6,25,0,176,26,0,0,1,1,81,0.45,0,46245
2018-06-26,2018,6,26,1,177,26,0,0,1,1,83,0.45,0,51564
2018-06-27,2018,6,27,2,178,26,0,0,1,1,83,0.45,0,56993
2018-06-28,2018,6,28,3,179,26,0,0,1,1,82,0.45,1,62763
2018-06-29,2018,6,29,4,180,26,0,0,1,1,87,0.45,1,60694
2018-06-30,2018,6,30,5,181,26,1,0,1,1,89,0.45,1,80000
2018-07-01,2018,7,1,6,182,26,1,0,1,1,86,0.5,1,80000
2018-07-02,2018,7,2,0,183,27,0,0,1,1,87,0.5,1,80000
2018-07-03,2018,7,3,1,184,27,0,0,1,1,85,0.5,0,80000
2018-07-04,2018,7,4,2,185,27,0,1,1,1,93,0.5,1,80000
2018-07-05,2018,7,5,3,186,27,0,0,1,1,91,0.5,0,80000
2018-07-06,2018,7,6,4,187,27,0,0,1,1,86,0.5,0,80000
2018-07-07,2018,7,7,5,188,27,1,0,1,1,87,0.5,1,80000
2018-07-08,2018,7,8,6,189,27,1,0,1,1,83,0.5,0,80000
2018-07-09,2018,7,9,0,190,28,0,0,1,1,93,0.5,0,56712
2018-07-10,2018,7,10,1,191,28,0,0,1,1,84,0.5,1,52612
2018-07-11,2018,7,11,2,192,28,0,0,1,1,91,0.5,1,56733
2018-07-12,2018,7,12,3,193,28,0,0,1,1,84,0.5,1,66291
2018-07-13,2018,7,13,4,194,28,0,0,1,1,87,0.5,0,76863
2018-07-14,2018,7,14,5,195,28,1,0,1,1,90,0.5,1,80000
2018-07-15,2018,7,15,6,196,28,1,0,1,1,85,0.5,0,75644
2018-07-16,2018,7,16,0,197,29,0,0,1,1,88,0.5,0,54923
2018-07-17,2018,7,17,1,198,29,0,0,1,1,86,0.5,1,59722
2018-07-18,2018,7,18,2,199,29,0,0,1,1,93,0.5,0,66128
2018-07-19,2018,7,19,3,200,29,0,0,1,1,89,0.5,1,68923
2018-07-20,2018,7,20,4,201,29,0,0,1,1,92,0.5,0,74865
2018-07-21,2018,7,21,5,202,29,1,0,1,1,85,0.5,1,71170
2018-07-22,2018,7,22,6,203,29,1,0,1,1,88,0.5,0,79759
2018-07-23,2018,7,23,0,204,30,0,0,1,1,92,0.5,1,66936
2018-07-24,2018,7,24,1,205,30,0,0,1,1,91,0.5,0,58770
2018-07-25,2018,7,25,2,206,30,0,0,1,1,93,0.5,0,52661
2018-07-26,2018,7,26,3,207,30,0,0,1,1,92,0.5,1,62859
2018-07-27,2018,7,27,4,208,30,0,0,1,1,83,0.5,0,66035
2018-07-28,2018,7,28,5,209,30,1,0,1,1,85,0.5,1,74367
2018-07-29,2018,7,29,6,210,30,1,0,1,1,84,0.5,0,72878
2018-07-30,2018,7,30,0,211,31,0,0,1,1,90,0.5,0,61735
2018-07-31,2018,7,31,1,212,31,0,0,1,1,89,0.5,1,59199
2018-08-01,2018,8,1,2,213,31,0,0,1,1,84,0.55,1,52471
2018-08-02,2018,8,2,3,214,31,0,0,1,1,88,0.55,1,47089
2018-08-03,2018,8,3,4,215,31,0,0,1,1,85,0.55,0,65521
2018-08-04,2018,8,4,5,216,31,1,0,1,1,90,0.55,1,67575
2018-08-05,2018,8,5,6,217,31,1,0,1,1,92,0.55,1,70222
2018-08-06,2018,8,6,0,218,32,0,0,1,1,85,0.55,1,54565
2018-08-07,2018,8,7,1,219,32,0,0,1,1,92,0.55,1,46968
2018-08-08,2018,8,8,2,220,32,0,0,1,1,91,0.55,0,46468
2018-08-09,2018,8,9,3,221,32,0,0,1,1,83,0.55,1,50201
2018-08-10,2018,8,10,4,222,32,0,0,1,1,87,0.55,0,57207
2018-08-11,2018,8,11,5,223,32,1,0,1,1,85,0.55,0,63737
2018-08-12,2018,8,12,6,224,32,1,0,1,1,88,0.55,0,75902
2018-08-13,2018,8,13,0,225,33,0,0,1,1,92,0.55,1,48196
2018-08-14,2018,8,14,1,226,33,0,0,1,1,84,0.55,0,47115
2018-08-15,2018,8,15,2,227,33,0,0,1,1,91,0.55,0,58190
2018-08-16,2018,8,16,3,228,33,0,0,1,1,88,0.55,1,53584
2018-08-17,2018,8,17,4,229,33,0,0,1,1,89,0.55,1,67759
2018-08-18,2018,8,18,5,230,33,1,0,1,1,87,0.55,1,68252
2018-08-19,2018,8,19,6,231,33,1,0,1,1,91,0.55,1,80000
2018-08-20,2018,8,20,0,232,34,0,0,1,1,83,0.55,1,47834
2018-08-21,2018,8,21,1,233,34,0,0,1,1,87,0.55,0,47159
2018-08-22,2018,8,22,2,234,34,0,0,1,1,93,0.55,1,50584
2018-08-23,2018,8,23,3,235,34,0,0,1,1,92,0.55,1,44443
2018-08-24,2018,8,24,4,236,34,0,0,1,1,93,0.55,0,65796
2018-08-25,2018,8,25,5,237,34,1,0,1,1,88,0.55,1,71515
2018-08-26,2018,8,26,6,238,34,1,0,1,1,89,0.55,0,51704
2018-08-27,2018,8,27,0,239,35,0,0,1,1,86,0.55,1,46578
2018-08-28,2018,8,28,1,240,35,0,0,1,1,83,0.55,0,52140
2018-08-29,2018,8,29,2,241,35,0,0,1,1,93,0.55,1,55459
2018-08-30,2018,8,30,3,242,35,0,0,1,1,90,0.55,0,68103
2018-08-31,2018,8,31,4,243,35,0,0,1,1,92,0.55,0,61398
2018-09-01,2018,9,1,5,244,35,1,0,0,0,83,0.45,1,43738
2018-09-02,2018,9,2,6,245,35,1,0,0,0,82,0.45,1,29001
2018-09-03,2018,9,3,0,246,36,0,1,0,0,86,0.45,0,26982
2018-09-04,2018,9,4,1,247,36,0,0,0,0,81,0.45,0,28934
2018-09-05,2018,9,5,2,248,36,0,0,0,0,87,0.45,0,26729
2018-09-06,2018,9,6,3,249,36,0,0,0,0,85,0.45,0,28405
2018-09-07,2018,9,7,4,250,36,0,0,0,0,86,0.45,1,24647
2018-09-08,2018,9,8,5,251,36,1,0,0,0,84,0.45,1,37758
2018-09-09,2018,9,9,6,252,36,1,0,0,0,88,0.45,1,34864
2018-09-10,2018,9,10,0,253,37,0,0,0,0,84,0.45,1,26407
2018-09-11,2018,9,11,1,254,37,0,0,0,0,90,0.45,0,23865
2018-09-12,2018,9,12,2,255,37,0,0,0,0,84,0.45,0,24134
2018-09-13,2018,9,13,3,256,37,0,0,0,0,82,0.45,0,30288
2018-09-14,2018,9,14,4,257,37,0,0,0,0,90,0.45,1,34155
2018-09-15,2018,9,15,5,258,37,1,0,0,0,80,0.45,1,42931
2018-09-16,2018,9,16,6,259,37,1,0,0,0,81,0.45,1,42948
2018-09-17,2018,9,17,0,260,38,0,0,0,0,87,0.45,0,21447
2018-09-18,2018,9,18,1,261,38,0,0,0,0,80,0.45,1,25004
2018-09-19,2018,9,19,2,262,38,0,0,0,0,86,0.45,0,29741
2018-09-20,2018,9,20,3,263,38,0,0,0,0,84,0.45,0,25341
2018-09-21,2018,9,21,4,264,38,0,0,0,0,82,0.45,0,36146
2018-09-22,2018,9,22,5,265,38,1,0,0,0,90,0.45,1,37530
2018-09-23,2018,9,23,6,266,38,1,0,0,0,86,0.45,0,40318
2018-09-24,2018,9,24,0,267,39,0,0,0,0,88,0.45,0,27866
2018-09-25,2018,9,25,1,268,39,0,0,0,0,81,0.45,0,28189
2018-09-26,2018,9,26,2,269,39,0,0,0,0,87,0.45,1,26358
2018-09-27,2018,9,27,3,270,39,0,0,0,0,88,0.45,0,22815
2018-09-28,2018,9,28,4,271,39,0,0,0,0,90,0.45,0,36009
2018-09-29,2018,9,29,5,272,39,1,0,0,0,82,0.45,1,32310
2018-09-30,2018,9,30,6,273,39,1,0,0,0,81,0.45,1,36717
2018-10-01,2018,10,1,0,274,40,0,0,0,0,79,0.25,0,29265
2018-10-02,2018,10,2,1,275,40,0,0,0,0,77,0.25,1,27528
2018-10-03,2018,10,3,2,276,40,0,0,0,0,77,0.25,0,29964
2018-10-04,2018,10,4,3,277,40,0,0,0,0,82,0.25,0,37036
2018-10-05,2018,10,5,4,278,40,0,0,0,0,77,0.25,0,41959
2018-10-06,2018,10,6,5,279,40,1,0,0,0,76,0.25,1,45931
2018-10-07,2018,10,7,6,280,40,1,0,0,0,77,0.25,0,49081
2018-10-08,2018,10,8,0,281,41,0,1,0,0,76,0.25,1,29166
2018-10-09,2018,10,9,1,282,41,0,0,0,0,78,0.25,1,27124
2018-10-10,2018,10,10,2,283,41,0,0,0,0,76,0.25,0,34077
2018-10-11,2018,10,11,3,284,41,0,0,0,0,74,0.25,0,28252
2018-10-12,2018,10,12,4,285,41,0,0,0,0,81,0.25,0,37925
2018-10-13,2018,10,13,5,286,41,1,0,0,0,74,0.25,1,29831
2018-10-14,2018,10,14,6,287,41,1,0,0,0,81,0.25,0,50255
2018-10-15,2018,10,15,0,288,42,0,0,0,0,82,0.25,1,27488
2018-10-16,2018,10,16,1,289,42,0,0,0,0,78,0.25,0,25707
2018-10-17,2018,10,17,2,290,42,0,0,0,0,81,0.25,0,32457
2018-10-18,2018,10,18,3,291,42,0,0,0,0,81,0.25,0,27031
2018-10-19,2018,10,19,4,292,42,0,0,0,0,75,0.25,1,28407
2018-10-20,2018,10,20,5,293,42,1,0,0,0,73,0.25,0,48676
2018-10-21,2018,10,21,6,294,42,1,0,0,0,73,0.25,0,42950
2018-10-22,2018,10,22,0,295,43,0,0,0,0,75,0.25,1,26659
2018-10-23,2018,10,23,1,296,43,0,0,0,0,77,0.25,1,30252
2018-10-24,2018,10,24,2,297,43,0,0,0,0,75,0.25,0,27824
2018-10-25,2018,10,25,3,298,43,0,0,0,0,81,0.25,0,32301
2018-10-26,2018,10,26,4,299,43,0,0,0,0,81,0.25,0,42431
2018-10-27,2018,10,27,5,300,43,1,0,0,0,75,0.25,0,39910
2018-10-28,2018,10,28,6,301,43,1,0,0,0,75,0.25,0,36095
2018-10-29,2018,10,29,0,302,44,0,0,0,0,77,0.25,0,29436
2018-10-30,2018,10,30,1,303,44,0,0,0,0,74,0.25,1,24457
2018-10-31,2018,10,31,2,304,44,0,0,0,0,78,0.25,1,38730
2018-11-01,2018,11,1,3,305,44,0,0,0,0,71,0.18,0,41560
2018-11-02,2018,11,2,4,306,44,0,0,0,0,73,0.18,0,50588
2018-11-03,2018,11,3,5,307,44,1,0,0,0,70,0.18,0,56593
2018-11-04,2018,11,4,6,308,44,1,0,0,0,67,0.18,0,50697
2018-11-05,2018,11,5,0,309,45,0,0,0,0,69,0.18,0,39267
2018-11-06,2018,11,6,1,310,45,0,0,0,0,68,0.18,0,36513
2018-11-07,2018,11,7,2,311,45,0,0,0,0,69,0.18,0,34903
2018-11-08,2018,11,8,3,312,45,0,0,0,0,72,0.18,0,36288
2018-11-09,2018,11,9,4,313,45,0,0,0,0,72,0.18,0,38440
2018-11-10,2018,11,10,5,314,45,1,0,0,0,70,0.18,0,58191
2018-11-11,2018,11,11,6,315,45,1,1,0,0,65,0.18,0,45699
2018-11-12,2018,11,12,0,316,46,0,1,0,0,72,0.18,0,32592
2018-11-13,2018,11,13,1,317,46,0,0,0,0,72,0.18,1,36878
2018-11-14,2018,11,14,2,318,46,0,0,0,0,66,0.18,1,36892
2018-11-15,2018,11,15,3,319,46,0,0,0,0,68,0.18,0,38179
2018-11-16,2018,11,16,4,320,46,0,0,0,0,66,0.18,0,44939
2018-11-17,2018,11,17,5,321,46,1,0,0,0,68,0.18,0,42962
2018-11-18,2018,11,18,6,322,46,1,0,0,0,74,0.18,0,50694
2018-11-19,2018,11,19,0,323,47,0,0,0,0,71,0.18,1,37437
2018-11-20,2018,11,20,1,324,47,0,0,0,1,73,0.18,0,42309
2018-11-21,2018,11,21,2,325,47,0,0,0,1,72,0.18,1,46499
2018-11-22,2018,11,22,3,326,47,0,1,0,1,73,0.18,1,55470
2018-11-23,2018,11,23,4,327,47,0,0,0,1,72,0.18,0,57732
2018-11-24,2018,11,24,5,328,47,1,0,0,1,66,0.18,0,71575
2018-11-25,2018,11,25,6,329,47,1,0,0,1,71,0.18,0,70405
2018-11-26,2018,11,26,0,330,48,0,0,0,1,66,0.18,1,41040
2018-11-27,2018,11,27,1,331,48,0,0,0,1,75,0.18,0,44883
2018-11-28,2018,11,28,2,332,48,0,0,0,1,66,0.18,0,51920
2018-11-29,2018,11,29,3,333,48,0,0,0,1,68,0.18,0,51265
2018-11-30,2018,11,30,4,334,48,0,0,0,1,65,0.18,0,55287
2018-12-01,2018,12,1,5,335,48,1,0,1,0,64,0.15,0,63456
2018-12-02,2018,12,2,6,336,48,1,0,1,0,65,0.15,0,63436
2018-12-03,2018,12,3,0,337,49,0,0,1,0,68,0.15,0,49827
2018-12-04,2018,12,4,1,338,49,0,0,1,0,69,0.15,0,51103
2018-12-05,2018,12,5,2,339,49,0,0,1,0,67,0.15,0,44979
2018-12-06,2018,12,6,3,340,49,0,0,1,0,61,0.15,0,45532
2018-12-07,2018,12,7,4,341,49,0,0,1,0,60,0.15,0,54979
2018-12-08,2018,12,8,5,342,49,1,0,1,0,61,0.15,1,66055
2018-12-09,2018,12,9,6,343,49,1,0,1,0,66,0.15,0,67524
2018-12-10,2018,12,10,0,344,50,0,0,1,0,63,0.15,0,52041
2018-12-11,2018,12,11,1,345,50,0,0,1,0,69,0.15,0,43610
2018-12-12,2018,12,12,2,346,50,0,0,1,0,64,0.15,0,51893
2018-12-13,2018,12,13,3,347,50,0,0,1,0,66,0.15,0,56351
2018-12-14,2018,12,14,4,348,50,0,0,1,0,62,0.15,0,62747
2018-12-15,2018,12,15,5,349,50,1,0,1,0,69,0.15,0,72276
2018-12-16,2018,12,16,6,350,50,1,0,1,0,61,0.15,0,65468
2018-12-17,2018,12,17,0,351,51,0,0,1,0,66,0.15,0,44955
2018-12-18,2018,12,18,1,352,51,0,0,1,0,64,0.15,0,41945
2018-12-19,2018,12,19,2,353,51,0,0,1,0,60,0.15,0,53761
2018-12-20,2018,12,20,3,354,51,0,0,1,1,60,0.15,0,64805
2018-12-21,2018,12,21,4,355,51,0,0,1,1,68,0.15,0,80000
