date,year,month,day,weekday,weekday_name,is_weekend,is_holiday,holiday_name,holiday_multiplier,monthly_weight,weekday_weight,attendance,season,is_school_break,temperature,is_rainy,has_special_event,day_of_year,week_of_year,is_month_start,is_month_end,temp_bin,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,weekend_or_holiday,summer_weekend,attendance_lag1,attendance_lag7,attendance_rolling_30,season_encoded
2016-01-15,2016,1,15,4,Friday,False,False,,1.0,0.0745033112582781,1.0862068965517242,32664,winter,False,-0.2,False,True,15,2,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.255353295116187,0.9668478136052775,0,0,41590.0,31741.0,38956.86666666667,3
2016-01-16,2016,1,16,5,Saturday,True,False,,1.0,0.0745033112582781,1.0862068965517242,25252,winter,False,3.3,False,True,16,2,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.2719581575341055,0.9623090774541486,1,0,32664.0,41014.0,38100.3125,3
2016-01-17,2016,1,17,6,Sunday,True,False,,1.0,0.0745033112582781,0.9454022988505748,29909,winter,False,2.0,False,True,17,2,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.288482432880609,0.9574851883550393,1,0,25252.0,38981.0,37618.470588235294,3
2016-01-18,2016,1,18,0,Monday,False,False,,1.0,0.0745033112582781,1.0660919540229885,36170,winter,False,5.9,False,True,18,3,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.0,1.0,0.30492122465628907,0.9523775757303974,0,0,29909.0,28246.0,37538.0,3
2016-01-19,2016,1,19,1,Tuesday,False,False,,1.0,0.0745033112582781,0.9655172413793104,31029,winter,False,2.3,False,True,19,3,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.3212696616923644,0.9469877530760753,0,0,36170.0,35329.0,37195.42105263158,3
2016-01-20,2016,1,20,2,Wednesday,False,False,,1.0,0.0745033112582781,0.8850574712643678,28382,winter,True,0.8,True,True,20,3,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.3375228995941133,0.9413173175128471,0,0,31029.0,36999.0,36754.75,3
2016-01-21,2016,1,21,3,Thursday,False,False,,1.0,0.0745033112582781,0.9655172413793104,26384,winter,True,9.4,False,True,21,3,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.3536761221763716,0.9353679493131483,0,0,28382.0,41590.0,36260.90476190476,3
2016-01-22,2016,1,22,4,Friday,False,False,,1.0,0.0745033112582781,1.0862068965517242,30154,winter,True,4.3,False,True,22,3,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.3697245428906731,0.9291414114031743,0,0,26384.0,32664.0,35983.318181818184,3
2016-01-23,2016,1,23,5,Saturday,True,False,,1.0,0.0745033112582781,1.0862068965517242,32682,winter,True,5.2,False,True,23,3,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.38566340624360707,0.9226395488404876,1,1,30154.0,25252.0,35839.782608695656,3
2016-01-24,2016,1,24,6,Sunday,True,False,,1.0,0.0745033112582781,0.9454022988505748,25376,winter,True,0.7,True,True,24,3,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.401487989205973,0.9158642882672872,1,1,32682.0,29909.0,35403.791666666664,3
2016-01-25,2016,1,25,0,Monday,False,False,,1.0,0.0745033112582781,1.0660919540229885,34008,winter,True,3.4,False,True,25,4,False,True,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.0,1.0,0.4171936026123168,0.9088176373395029,0,0,25376.0,36170.0,35347.96,3
2016-01-26,2016,1,26,1,Tuesday,False,False,,1.0,0.0745033112582781,0.9655172413793104,38829,winter,True,5.3,True,True,26,4,False,True,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.4327755925504312,0.901501684131884,0,0,34008.0,31029.0,35481.846153846156,3
2016-01-27,2016,1,27,2,Wednesday,False,False,,1.0,0.0745033112582781,0.8850574712643678,34372,winter,True,1.5,True,True,27,4,False,True,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.4482293417404106,0.893918596519257,0,0,38829.0,28382.0,35440.74074074074,3
2016-01-28,2016,1,28,3,Thursday,False,False,,1.0,0.0745033112582781,0.9655172413793104,37390,winter,True,6.1,False,True,28,4,False,True,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.4635502709028509,0.886070621534138,0,0,34372.0,26384.0,35510.357142857145,3
2016-01-29,2016,1,29,4,Friday,False,False,,1.0,0.0745033112582781,1.0862068965517242,45013,winter,True,3.2,False,True,29,4,False,True,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.47873384011578846,0.8779600847008882,0,0,37390.0,30154.0,35838.03448275862,3
2016-01-30,2016,1,30,5,Saturday,True,False,,1.0,0.0745033112582781,1.0862068965517242,26803,winter,True,4.1,False,True,30,4,False,True,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.4937755501599772,0.869589389346611,1,1,45013.0,32682.0,35536.86666666667,3
2016-01-31,2016,1,31,6,Sunday,True,False,,1.0,0.0745033112582781,0.9454022988505748,30502,winter,True,3.2,False,True,31,4,False,True,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.5086709438521044,0.8609610158889943,1,1,26803.0,25376.0,34872.73333333333,3
2016-02-01,2016,2,1,0,Monday,False,False,,1.0,0.0844370860927152,1.0660919540229885,41284,winter,True,11.6,True,True,32,5,True,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.0,1.0,0.5234156073655503,0.8520775211013093,0,0,30502.0,34008.0,34516.53333333333,3
2016-02-02,2016,2,2,1,Tuesday,False,False,,1.0,0.0844370860927152,0.9655172413793104,31464,winter,True,6.0,False,True,33,5,True,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.5380051715382996,0.8429415373547828,0,0,41284.0,38829.0,34016.23333333333,3
2016-02-03,2016,2,3,2,Wednesday,False,False,,1.0,0.0844370860927152,0.8850574712643678,41244,winter,True,2.8,False,True,34,5,True,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.5524353131676196,0.8335557718385699,0,0,31464.0,34372.0,34025.166666666664,3
2016-02-04,2016,2,4,3,Thursday,False,False,,1.0,0.0844370860927152,0.9655172413793104,41519,winter,True,8.5,True,True,35,5,True,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.5667017562911176,0.8239230057575542,0,0,41244.0,37390.0,33955.96666666667,3
2016-02-05,2016,2,5,4,Friday,False,False,,1.0,0.0844370860927152,1.0862068965517242,32646,winter,True,2.3,False,True,36,5,True,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.5808002734538009,0.8140460935082178,0,0,41519.0,45013.0,34121.2,3
2016-02-06,2016,2,6,5,Saturday,True,False,,1.0,0.0844370860927152,1.0862068965517242,40455,winter,True,6.6,False,True,37,5,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.5947266869607634,0.8039279618328213,1,1,32646.0,26803.0,34247.7,3
2016-02-07,2016,2,7,6,Sunday,True,False,,1.0,0.0844370860927152,0.9454022988505748,30167,winter,True,0.1,False,True,38,5,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.6084768701151261,0.7935716089521474,1,1,40455.0,30502.0,34195.23333333333,3
2016-02-08,2016,2,8,0,Monday,False,False,,1.0,0.0844370860927152,1.0660919540229885,46042,winter,True,2.0,False,True,39,6,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,0.0,1.0,0.6220467484408675,0.7829801036770629,0,0,30167.0,41284.0,34362.833333333336,3
2016-02-09,2016,2,9,1,Tuesday,False,False,,1.0,0.0844370860927152,0.9655172413793104,36310,winter,True,6.6,False,True,40,6,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.6354323008901774,0.7721565844991642,0,0,46042.0,31464.0,34273.8,3
2016-02-10,2016,2,10,2,Wednesday,False,True,spring_festival,1.8,0.0844370860927152,0.8850574712643678,73971,winter,True,8.2,False,True,41,6,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.6486295610349814,0.7611042586607747,1,0,36310.0,41244.0,35797.96666666667,3
2016-02-11,2016,2,11,3,Thursday,False,True,spring_festival,1.8,0.0844370860927152,0.9655172413793104,57271,winter,True,6.5,False,True,42,6,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.6616346182422783,0.7498264012045686,1,0,73971.0,41519.0,36529.36666666667,3
2016-02-12,2016,2,12,4,Friday,False,True,spring_festival,1.8,0.0844370860927152,1.0862068965517242,70086,winter,True,5.7,True,True,43,6,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.6744436188329455,0.7383263540031065,1,0,57271.0,32646.0,37632.26666666667,3
2016-02-13,2016,2,13,5,Saturday,True,True,spring_festival,1.8,0.0844370860927152,1.0862068965517242,72656,winter,True,5.1,False,True,44,6,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.6870527672236669,0.7266075247685656,1,1,70086.0,40455.0,38667.8,3
2016-02-14,2016,2,14,6,Sunday,True,True,spring_festival,1.8,0.0844370860927152,0.9454022988505748,59061,winter,True,1.6,False,True,45,6,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.6994583270516471,0.7146733860429609,1,1,72656.0,30167.0,39547.7,3
2016-02-15,2016,2,15,0,Monday,False,True,spring_festival,1.8,0.0844370860927152,1.0660919540229885,79349,winter,True,3.8,False,True,46,7,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,0.0,1.0,0.7116566222817746,0.702527474169157,1,0,59061.0,46042.0,41350.933333333334,3
2016-02-16,2016,2,16,1,Tuesday,False,True,spring_festival,1.8,0.0844370860927152,0.9655172413793104,63634,winter,False,4.6,False,False,47,7,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.7236440382959124,0.6901733882429719,1,0,79349.0,36310.0,42475.1,3
2016-02-17,2016,2,17,2,Wednesday,False,False,,1.0,0.0844370860927152,0.8850574712643678,33863,winter,False,9.2,False,False,48,7,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.7354170229639855,0.6776147890466889,0,0,63634.0,73971.0,42398.2,3
2016-02-18,2016,2,18,3,Thursday,False,False,,1.0,0.0844370860927152,0.9655172413793104,41365,winter,False,7.0,False,False,49,7,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.7469720876965552,0.6648553979642865,0,0,33863.0,57271.0,42742.73333333333,3
2016-02-19,2016,2,19,4,Friday,False,False,,1.0,0.0844370860927152,1.0862068965517242,46630,winter,False,0.7,True,False,50,7,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.7583058084785625,0.6518989958787126,0,0,41365.0,70086.0,43351.0,3
2016-02-20,2016,2,20,5,Saturday,True,False,,1.0,0.0844370860927152,1.0862068965517242,37698,winter,False,7.0,False,False,51,7,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.7694148268839378,0.6387494220515272,1,0,46630.0,72656.0,43728.13333333333,3
2016-02-21,2016,2,21,6,Sunday,True,False,,1.0,0.0844370860927152,0.9454022988505748,36999,winter,False,4.8,False,False,52,7,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.7802958510707755,0.6254105729852463,1,0,37698.0,59061.0,43956.3,3
2016-02-22,2016,2,22,0,Monday,False,False,,1.0,0.0844370860927152,1.0660919540229885,49506,winter,False,4.0,True,False,53,8,False,False,寒冷(<5°C),0.8660254037844386,0.5000000000000001,0.0,1.0,0.7909456567567772,0.6118864012687243,0,0,36999.0,79349.0,44517.1,3
2016-02-23,2016,2,23,1,Tuesday,False,False,,1.0,0.0844370860927152,0.9655172413793104,45416,winter,False,7.8,False,False,54,8,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8013610881746766,0.5981809144059164,0,0,49506.0,63634.0,45185.1,3
2016-02-24,2016,2,24,2,Wednesday,False,False,,1.0,0.0844370860927152,0.8850574712643678,27485,winter,False,9.1,False,False,55,8,False,False,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.8115390590073611,0.5842981736283683,0,0,45416.0,33863.0,44967.666666666664,3
2016-02-25,2016,2,25,3,Thursday,False,False,,1.0,0.0844370860927152,0.9655172413793104,38766,winter,False,8.8,False,False,56,8,False,True,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.8214765533024142,0.5702422926917871,0,0,27485.0,41365.0,44965.566666666666,3
2016-02-26,2016,2,26,4,Friday,False,False,,1.0,0.0844370860927152,1.0862068965517242,45704,winter,False,3.5,True,False,57,8,False,True,寒冷(<5°C),0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8311706263658079,0.5560174366570446,0,0,38766.0,46630.0,45343.3,3
2016-02-27,2016,2,27,5,Saturday,True,False,,1.0,0.0844370860927152,1.0862068965517242,40475,winter,False,5.1,True,False,58,8,False,True,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.8406184056344782,0.5416278206559814,1,0,45704.0,37698.0,45446.13333333333,3
2016-02-28,2016,2,28,6,Sunday,True,False,,1.0,0.0844370860927152,0.9454022988505748,42819,winter,False,7.0,False,False,59,8,False,True,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.8498170915275278,0.5270777086423722,1,0,40475.0,36999.0,45373.0,3
2016-02-29,2016,2,29,0,Monday,False,False,,1.0,0.0844370860927152,1.0660919540229885,44336,winter,False,8.9,True,False,60,9,False,True,凉爽(5-15°C),0.8660254037844386,0.5000000000000001,0.0,1.0,0.8587639582758029,0.5123714121284237,0,0,42819.0,49506.0,45957.433333333334,3
2016-03-01,2016,3,1,1,Tuesday,False,False,,1.0,0.064569536423841,0.9655172413793104,31046,spring,False,8.6,False,False,61,9,True,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.8674563547295968,0.49751328890718066,0,0,44336.0,45416.0,45975.566666666666,0
2016-03-02,2016,3,2,2,Wednesday,False,False,,1.0,0.064569536423841,0.8850574712643678,23471,spring,False,9.4,True,False,62,9,True,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.8758917051442429,0.48250774176121847,0,0,31046.0,27485.0,45381.8,0
2016-03-03,2016,3,3,3,Thursday,False,False,,1.0,0.064569536423841,0.9655172413793104,24332,spring,False,6.7,True,False,63,9,True,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.8840675099433636,0.46735921715800227,0,0,23471.0,38766.0,45144.066666666666,0
2016-03-04,2016,3,4,4,Friday,False,False,,1.0,0.064569536423841,1.0862068965517242,29094,spring,False,6.4,True,False,64,9,True,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8919813464595485,0.45207220393230435,0,0,24332.0,45704.0,44739.066666666666,0
2016-03-05,2016,3,5,5,Saturday,True,False,,1.0,0.064569536423841,1.0862068965517242,29859,spring,False,12.4,False,False,65,9,True,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.8996308696522433,0.43665123195606403,1,0,29094.0,40475.0,44350.4,0
2016-03-06,2016,3,6,6,Sunday,True,False,,1.0,0.064569536423841,0.9454022988505748,31894,spring,False,14.1,False,False,66,9,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9070138128026359,0.4211008707960896,1,0,29859.0,42819.0,44325.333333333336,0
2016-03-07,2016,3,7,0,Monday,False,False,,1.0,0.064569536423841,1.0660919540229885,31281,spring,False,9.8,True,False,67,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.0,1.0,0.9141279881853337,0.40542572835999735,0,0,31894.0,44336.0,44019.53333333333,0
2016-03-08,2016,3,8,1,Tuesday,False,False,,1.0,0.064569536423841,0.9655172413793104,21461,spring,False,13.0,True,False,68,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9209712877166346,0.38963044953078796,0,0,31281.0,31046.0,43729.333333333336,0
2016-03-09,2016,3,9,2,Wednesday,False,False,,1.0,0.064569536423841,0.8850574712643678,23014,spring,False,11.1,True,False,69,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9275416835791966,0.37371971479046906,0,0,21461.0,23471.0,42961.73333333333,0
2016-03-10,2016,3,10,3,Thursday,False,False,,1.0,0.064569536423841,0.9655172413793104,30773,spring,False,8.1,False,False,70,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9338372288229252,0.35769823883312546,0,0,23014.0,24332.0,42777.166666666664,0
2016-03-11,2016,3,11,4,Friday,False,False,,1.0,0.064569536423841,1.0862068965517242,32106,spring,False,11.1,False,False,71,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9398560579418954,0.3415707691678556,0,0,30773.0,29094.0,41381.666666666664,0
2016-03-12,2016,3,12,5,Saturday,True,False,,1.0,0.064569536423841,1.0862068965517242,31288,spring,False,14.6,False,False,72,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9455963874271426,0.3253420847119801,1,0,32106.0,29859.0,40515.566666666666,0
2016-03-13,2016,3,13,6,Sunday,True,False,,1.0,0.064569536423841,0.9454022988505748,29873,spring,False,9.9,False,False,73,10,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9510565162951535,0.30901699437494745,1,0,31288.0,31894.0,39175.13333333333,0
2016-03-14,2016,3,14,0,Monday,False,False,,1.0,0.064569536423841,1.0660919540229885,28403,spring,False,14.7,False,False,74,11,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.0,1.0,0.9562348265919056,0.29260033563334836,0,0,29873.0,31281.0,37700.03333333333,0
2016-03-15,2016,3,15,1,Tuesday,False,False,,1.0,0.064569536423841,0.9655172413793104,25138,spring,False,2.1,True,False,75,11,False,False,寒冷(<5°C),1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9611297838723007,0.27609697309746883,0,0,28403.0,21461.0,36569.26666666667,0
2016-03-16,2016,3,16,2,Wednesday,False,False,,1.0,0.064569536423841,0.8850574712643678,22794,spring,False,12.5,False,False,76,11,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9657399376548549,0.2595117970697999,0,0,25138.0,23014.0,34684.1,0
2016-03-17,2016,3,17,3,Thursday,False,False,,1.0,0.064569536423841,0.9655172413793104,27852,spring,False,10.3,True,False,77,11,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.970063921851507,0.2428497220959356,0,0,22794.0,30773.0,33491.36666666667,0
2016-03-18,2016,3,18,4,Friday,False,False,,1.0,0.064569536423841,1.0862068965517242,43918,spring,False,9.1,True,False,78,11,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9741004551724205,0.22611568550828828,0,0,27852.0,32106.0,33826.53333333333,0
2016-03-19,2016,3,19,5,Saturday,True,False,,1.0,0.064569536423841,1.0862068965517242,29911,spring,False,10.3,False,False,79,11,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9778483415056568,0.20931464596304847,1,0,43918.0,31288.0,33444.73333333333,0
2016-03-20,2016,3,20,6,Sunday,True,False,,1.0,0.064569536423841,0.9454022988505748,25793,spring,False,4.0,False,False,80,11,False,False,寒冷(<5°C),1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9813064702716093,0.19245158197082998,1,0,29911.0,29873.0,32750.166666666668,0
2016-03-21,2016,3,21,0,Monday,False,False,,1.0,0.064569536423841,1.0660919540229885,29379,spring,False,9.3,False,False,81,12,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.0,1.0,0.9844738167520922,0.1755314904214282,0,0,25793.0,28403.0,32472.866666666665,0
2016-03-22,2016,3,22,1,Tuesday,False,False,,1.0,0.064569536423841,0.9655172413793104,27130,spring,False,11.1,False,False,82,12,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9873494423939864,0.15855938510313478,0,0,29379.0,25138.0,32143.9,0
2016-03-23,2016,3,23,2,Wednesday,False,False,,1.0,0.064569536423841,0.8850574712643678,25973,spring,False,14.4,False,False,83,12,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.989932495087353,0.141540295217043,0,0,27130.0,22794.0,31359.466666666667,0
2016-03-24,2016,3,24,3,Thursday,False,False,,1.0,0.064569536423841,0.9655172413793104,25154,spring,False,8.4,True,False,84,12,False,False,凉爽(5-15°C),1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9922222094179323,0.12447926388678915,0,0,25973.0,27852.0,30684.066666666666,0
2016-03-25,2016,3,25,4,Friday,False,False,,1.0,0.064569536423841,1.0862068965517242,37721,spring,False,7.6,False,False,85,12,False,True,凉爽(5-15°C),1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.994217906893952,0.10738134666416309,0,0,25154.0,43918.0,31025.266666666666,0
